year,region,country,flight_count,passenger_count,cargo_ton,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,passengers_per_flight
2022,일본,일본,24200.0,3009252.0,319524.0,,,,124.35
2023,일본,일본,108303.0,19382535.0,432139.0,544.1,347.53,35.24,178.97
2024,일본,일본,136506.0,25143112.0,510846.0,29.72,26.04,18.21,184.19
2025,일본,일본,151827.0,27317917.0,555558.0,8.65,11.22,8.75,179.93
2026,일본(2022),일본,24200.0,3009252.0,319524.0,-88.98,-84.06,-42.49,124.35
2026,일본(2023),일본,108303.0,19382535.0,432139.0,544.1,347.53,35.24,178.97
2026,일본(2024),일본,136506.0,25143112.0,510846.0,29.72,26.04,18.21,184.19
2026,일본(2025),일본,151827.0,27317917.0,555558.0,8.65,11.22,8.75,179.93
2026,일본(26.09),일본,117105.0,21310245.0,412748.0,-21.99,-22.87,-25.71,181.98
