year,month,route,destination_airport,total_flight_count,total_paid_passenger_count,carrier_count,lcc_carrier_count,lcc_share,passengers_per_flight
2023,2,ICN-HND,HND,0.0,9233.0,1,2,2.0,0
2023,2,ICN-KIX,KIX,0.0,268078.0,8,12,1.5,0
2023,2,ICN-KKJ,KKJ,0.0,362.0,1,0,0.0,0
2023,2,ICN-KMI,KMI,0.0,2286.0,1,0,0.0,0
2023,2,ICN-KMJ,KMJ,0.0,4811.0,1,2,2.0,0
2023,2,ICN-KOJ,KOJ,0.0,2944.0,1,0,0.0,0
2023,2,ICN-NGO,NGO,0.0,34432.0,3,2,0.6667,0
2023,2,ICN-NRT,NRT,0.0,244056.0,10,10,1.0,0
2023,2,ICN-OKA,OKA,0.0,41182.0,5,4,0.8,0
2023,2,ICN-TAK,TAK,0.0,4663.0,1,2,2.0,0
2023,3,ICN-AOJ,AOJ,0.0,838.0,1,0,0.0,0
2023,3,ICN-CTS,CTS,0.0,51226.0,6,6,1.0,0
2023,3,ICN-FSZ,FSZ,0.0,965.0,1,2,2.0,0
2023,3,ICN-FUK,FUK,0.0,215592.0,7,10,1.4286,0
2023,3,ICN-HND,HND,0.0,10833.0,2,2,1.0,0
2023,3,ICN-KIX,KIX,0.0,263420.0,8,14,1.75,0
2023,3,ICN-KMI,KMI,0.0,172.0,1,0,0.0,0
2023,3,ICN-KMJ,KMJ,0.0,9428.0,1,4,4.0,0
2023,3,ICN-KOJ,KOJ,0.0,5028.0,2,2,1.0,0
2023,3,ICN-MYJ,MYJ,0.0,1215.0,1,2,2.0,0
2023,3,ICN-NGO,NGO,0.0,40687.0,3,2,0.6667,0
2023,3,ICN-NRT,NRT,0.0,268036.0,10,10,1.0,0
2023,3,ICN-OKA,OKA,0.0,39968.0,5,4,0.8,0
2023,3,ICN-SDJ,SDJ,0.0,682.0,1,0,0.0,0
2023,3,ICN-TAK,TAK,0.0,5963.0,1,4,4.0,0
2023,4,ICN-CTS,CTS,0.0,37625.0,5,4,0.8,0
2023,4,ICN-FSZ,FSZ,0.0,4859.0,1,2,2.0,0
2023,4,ICN-FUK,FUK,0.0,194495.0,7,8,1.1429,0
2023,4,ICN-HND,HND,0.0,13819.0,2,2,1.0,0
2023,4,ICN-KIX,KIX,0.0,259941.0,9,12,1.3333,0
2023,4,ICN-KMI,KMI,0.0,1363.0,1,0,0.0,0
2023,4,ICN-KMJ,KMJ,0.0,8519.0,1,2,2.0,0
2023,4,ICN-KOJ,KOJ,0.0,2034.0,2,1,0.5,0
2023,4,ICN-MYJ,MYJ,0.0,6734.0,1,2,2.0,0
2023,4,ICN-NGO,NGO,0.0,38023.0,3,2,0.6667,0
2023,4,ICN-NRT,NRT,0.0,239032.0,10,12,1.2,0
2023,4,ICN-OKA,OKA,0.0,39909.0,5,4,0.8,0
2023,4,ICN-SDJ,SDJ,0.0,417.0,1,0,0.0,0
2023,4,ICN-TAK,TAK,0.0,9941.0,1,4,4.0,0
2023,4,ICN-YGJ,YGJ,0.0,2498.0,1,2,2.0,0
2023,5,ICN-CTS,CTS,0.0,51431.0,5,4,0.8,0
2023,5,ICN-FSZ,FSZ,0.0,8772.0,1,2,2.0,0
2023,5,ICN-FUK,FUK,0.0,210383.0,7,8,1.1429,0
2023,5,ICN-HND,HND,0.0,22541.0,3,2,0.6667,0
2023,5,ICN-KIX,KIX,0.0,303362.0,8,10,1.25,0
2023,5,ICN-KKJ,KKJ,0.0,3817.0,1,0,0.0,0
2023,5,ICN-KMJ,KMJ,0.0,7818.0,1,2,2.0,0
2023,5,ICN-MYJ,MYJ,0.0,6298.0,1,2,2.0,0
2023,5,ICN-NGO,NGO,0.0,47795.0,3,4,1.3333,0
2023,5,ICN-NRT,NRT,0.0,284374.0,11,12,1.0909,0
2023,5,ICN-OKA,OKA,0.0,43803.0,5,4,0.8,0
2023,5,ICN-SDJ,SDJ,0.0,3154.0,1,0,0.0,0
2023,5,ICN-TAK,TAK,0.0,10762.0,1,2,2.0,0
2023,6,ICN-CTS,CTS,0.0,78889.0,6,6,1.0,0
2023,6,ICN-FSZ,FSZ,0.0,9655.0,1,2,2.0,0
2023,6,ICN-FUK,FUK,0.0,216014.0,7,10,1.4286,0
2023,6,ICN-HND,HND,0.0,17730.0,3,2,0.6667,0
2023,6,ICN-KIX,KIX,0.0,295325.0,8,8,1.0,0
2023,6,ICN-KKJ,KKJ,0.0,5236.0,1,0,0.0,0
2023,6,ICN-KMJ,KMJ,0.0,6950.0,1,2,2.0,0
2023,6,ICN-MYJ,MYJ,0.0,6875.0,1,2,2.0,0
2023,6,ICN-NGO,NGO,0.0,50932.0,3,2,0.6667,0
2023,6,ICN-NRT,NRT,0.0,284937.0,10,10,1.0,0
2023,6,ICN-OIT,OIT,0.0,1249.0,1,2,2.0,0
2023,6,ICN-OKA,OKA,0.0,42453.0,5,4,0.8,0
2023,6,ICN-SDJ,SDJ,0.0,3234.0,1,0,0.0,0
2023,6,ICN-TAK,TAK,0.0,10756.0,1,2,2.0,0
2023,7,ICN-CTS,CTS,0.0,149482.0,7,8,1.1429,0
2023,7,ICN-FSZ,FSZ,0.0,4215.0,1,2,2.0,0
2023,7,ICN-FUK,FUK,0.0,227698.0,7,6,0.8571,0
2023,7,ICN-HIJ,HIJ,0.0,2343.0,1,2,2.0,0
2023,7,ICN-HND,HND,0.0,17655.0,2,2,1.0,0
2023,7,ICN-KIX,KIX,0.0,311656.0,8,10,1.25,0
2023,7,ICN-KKJ,KKJ,0.0,9108.0,1,0,0.0,0
2023,7,ICN-KMJ,KMJ,0.0,7332.0,1,2,2.0,0
2023,7,ICN-MYJ,MYJ,0.0,7121.0,1,2,2.0,0
2023,7,ICN-NGO,NGO,0.0,56603.0,3,2,0.6667,0
2023,7,ICN-NRT,NRT,0.0,297108.0,12,10,0.8333,0
2023,7,ICN-OIT,OIT,0.0,3570.0,1,2,2.0,0
2023,7,ICN-OKA,OKA,0.0,54467.0,5,4,0.8,0
2023,7,ICN-SDJ,SDJ,0.0,3737.0,1,0,0.0,0
