year,route,origin,destination,flight_count,passenger_count,cargo_ton,passengers_per_flight,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,avg_carrier_count,avg_lcc_share,avg_icn_total_flight_count,avg_icn_total_paid_passenger_count,avg_icn_passengers_per_flight,japan_country_passenger_count,japan_country_flight_count,japan_country_passenger_growth_rate,japan_country_flight_growth_rate,jpy_krw_rate,jpy_krw_change_rate_7d,jpy_krw_change_rate_30d,jpy_krw_change_rate_90d,holiday_count,holiday_names,demand_pressure_score,supply_pressure_score,exchange_pressure_score,competition_pressure_score,holiday_pressure_score,risk_score,risk_level,purchase_timing_recommendation,is_japan_route,japan_country_cargo_ton,japan_country_cargo_growth_rate,japan_country_passengers_per_flight
2023,인천(ICN)-도쿄 나리타(NRT),인천(ICN),도쿄 나리타(NRT),20666.0,3654075.0,180936.0,176.82,328.38,150.47,1.95,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,5,1,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-도쿄 나리타(NRT),인천(ICN),도쿄 나리타(NRT),25754.0,4824120.0,198566.0,187.32,32.02,24.62,9.74,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,4,2,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-도쿄 나리타(NRT),인천(ICN),도쿄 나리타(NRT),24960.0,4617603.0,213172.0,185.0,-4.28,-3.08,7.36,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,1,5,2,5,1,14,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2021,인천(ICN)-도쿄 하네다(HND),인천(ICN),도쿄 하네다(HND),1.0,87.0,3.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.24,-1.38,-0.3,-3.71,0.0,,2,4,1,5,1,13,중간,가격 모니터링 후 구매,True,0.0,0.0,0.0
2022,인천(ICN)-도쿄 하네다(HND),인천(ICN),도쿄 하네다(HND),125.0,17148.0,152.0,137.18,19610.34,12400.0,4966.67,4.16,0.7993,0.0,32704.59,0.0,3009252.0,24200.0,0.0,0.0,953.18,-3.11,-0.12,-1.61,0.0,,5,1,1,3,1,11,낮음,대기 가능,True,319524.0,0.0,124.35
2023,인천(ICN)-도쿄 하네다(HND),인천(ICN),도쿄 하네다(HND),1402.0,225247.0,2376.0,160.66,1213.55,1021.6,1463.16,3.28,1.1634,0.0,67158.6,0.0,19382535.0,108303.0,544.1,347.53,912.87,0.81,-2.26,-3.59,0.0,,5,1,1,4,1,12,중간,가격 모니터링 후 구매,True,432139.0,35.24,178.97
2024,인천(ICN)-도쿄 하네다(HND),인천(ICN),도쿄 하네다(HND),2192.0,356727.0,3881.0,162.74,58.37,56.35,63.34,3.02,0.92,0.0,65444.23,0.0,25143112.0,136506.0,29.72,26.04,0.0,0.0,0.0,0.0,0.0,,5,1,2,4,1,13,중간,가격 모니터링 후 구매,True,510846.0,18.21,184.19
2025,인천(ICN)-도쿄 하네다(HND),인천(ICN),도쿄 하네다(HND),2195.0,421888.0,7169.0,192.2,18.27,0.14,84.72,0.0,0.0,0.0,0.0,0.0,27317917.0,151827.0,8.65,11.22,0.0,0.0,0.0,0.0,0.0,,3,4,2,5,1,15,중간,가격 모니터링 후 구매,True,555558.0,8.75,179.93
2021,인천(ICN)-삿보로(치토세)(CTS),인천(ICN),삿보로(치토세)(CTS),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.24,-1.38,-0.3,-3.71,0.0,,2,4,1,5,1,13,중간,가격 모니터링 후 구매,True,0.0,0.0,0.0
2022,인천(ICN)-삿보로(치토세)(CTS),인천(ICN),삿보로(치토세)(CTS),663.0,102033.0,1131.0,153.9,inf,66200.0,inf,4.16,0.7993,0.0,32704.59,0.0,3009252.0,24200.0,0.0,0.0,953.18,-3.11,-0.12,-1.61,0.0,,5,1,1,3,1,11,낮음,대기 가능,True,319524.0,0.0,124.35
