year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2024,중국심천항공(CSZ),273148.0,1670.0,215112.0,3593.0,0.7875,128.81,94.44,75.79,71.65,False
2025,중국심천항공(CSZ),358662.0,2208.0,292499.0,4396.0,0.8155,132.47,35.98,32.22,31.31,False
2026,중국심천항공(CSZ),249256.0,1510.0,215988.0,3166.0,0.8665,143.04,-26.16,-31.61,-30.5,False
2024,중국연합항공(CUA),39060.0,211.0,24415.0,250.0,0.6251,115.71,,,,False
2025,중국연합항공(CUA),19530.0,106.0,15540.0,172.0,0.7957,146.6,-36.35,-49.76,-50.0,False
2026,중국연합항공(CUA),28458.0,153.0,22508.0,245.0,0.7909,147.11,44.84,44.34,45.71,False
2022,중국우정항공(CYZ),0.0,598.0,0.0,5108.0,0.0,0.0,,,,False
2023,중국우정항공(CYZ),0.0,504.0,0.0,3218.0,0.0,0.0,,-15.72,,False
2024,중국우정항공(CYZ),0.0,516.0,0.0,4581.0,0.0,0.0,,2.38,,False
2025,중국우정항공(CYZ),0.0,556.0,0.0,5735.0,0.0,0.0,,7.75,,False
2026,중국우정항공(CYZ),0.0,378.0,0.0,4261.0,0.0,0.0,,-32.01,,False
2022,중국하문항공(CXA),41536.0,218.0,25705.0,965.0,0.6189,117.91,,,,False
2023,중국하문항공(CXA),108824.0,618.0,87127.0,1936.0,0.8006,140.98,238.95,183.49,162.0,False
2024,중국하문항공(CXA),237706.0,1482.0,163839.0,2768.0,0.6893,110.55,88.05,139.81,118.43,False
2025,중국하문항공(CXA),231328.0,1372.0,182858.0,3183.0,0.7905,133.28,11.61,-7.42,-2.68,False
2026,중국하문항공(CXA),168890.0,968.0,153195.0,2586.0,0.9071,158.26,-16.22,-29.45,-26.99,False
2022,중국화물항공(CKK),0.0,538.0,0.0,35332.0,0.0,0.0,,,,False
2023,중국화물항공(CKK),0.0,482.0,0.0,30858.0,0.0,0.0,,-10.41,,False
2024,중국화물항공(CKK),0.0,272.0,0.0,18563.0,0.0,0.0,,-43.57,,False
2025,중국화물항공(CKK),0.0,338.0,0.0,20893.0,0.0,0.0,,24.26,,False
2026,중국화물항공(CKK),0.0,188.0,0.0,12120.0,0.0,0.0,,-44.38,,False
2022,중화항공(CAL),198581.0,1730.0,73660.0,23851.0,0.3709,42.58,,,,False
2023,중화항공(CAL),746007.0,3103.0,592149.0,21991.0,0.7938,190.83,703.89,79.36,275.67,False
2024,중화항공(CAL),931256.0,4200.0,782637.0,23994.0,0.8404,186.34,32.17,35.35,24.83,False
2025,중화항공(CAL),1034092.0,4343.0,887866.0,27006.0,0.8586,204.44,13.45,3.4,11.04,False
2026,중화항공(CAL),624002.0,2848.0,557241.0,15645.0,0.893,195.66,-37.24,-34.42,-39.66,False
2022,진에어(JNA),8480866.0,43963.0,7043526.0,42459.0,0.8305,160.21,,,,True
2023,진에어(JNA),11158318.0,54043.0,9826824.0,87324.0,0.8807,181.83,39.52,22.93,31.57,True
2024,진에어(JNA),12548209.0,60555.0,11034665.0,106152.0,0.8794,182.23,12.29,12.05,12.46,True
2025,진에어(JNA),13056136.0,62998.0,11242913.0,101007.0,0.8611,178.46,1.89,4.03,4.05,True
2026,진에어(JNA),8497032.0,41959.0,7434598.0,70666.0,0.875,177.19,-33.87,-33.4,-34.92,True
2022,집에어 도쿄(TZP),170230.0,680.0,85692.0,7203.0,0.5034,126.02,,,,True
2023,집에어 도쿄(TZP),251926.0,869.0,183725.0,8702.0,0.7293,211.42,114.4,27.79,47.99,True
2024,집에어 도쿄(TZP),211700.0,730.0,176637.0,6688.0,0.8344,241.97,-3.86,-16.0,-15.97,True
2025,집에어 도쿄(TZP),211990.0,732.0,182667.0,6890.0,0.8617,249.55,3.41,0.27,0.14,True
2026,집에어 도쿄(TZP),179800.0,620.0,160187.0,4984.0,0.8909,258.37,-12.31,-15.3,-15.18,True
2023,차이나 웨스트 에어(CHB),5928.0,32.0,1869.0,17.0,0.3153,58.41,,,,False
2024,차이나 웨스트 에어(CHB),29964.0,162.0,21716.0,195.0,0.7247,134.05,1061.9,406.25,405.47,False
2026,차이나 웨스트 에어(CHB),13548.0,74.0,12838.0,124.0,0.9476,173.49,-40.88,-54.32,-54.79,False
2023,천진항공(GCR),83808.0,460.0,50235.0,664.0,0.5994,109.21,,,,False
2024,천진항공(GCR),104458.0,616.0,67876.0,867.0,0.6498,110.19,35.12,33.91,24.64,False
2025,천진항공(GCR),49696.0,406.0,43438.0,517.0,0.8741,106.99,-36.0,-34.09,-52.42,False
2026,천진항공(GCR),50334.0,398.0,43356.0,515.0,0.8614,108.93,-0.19,-1.97,1.28,False
2022,춘추항공(CQH),32432.0,150.0,21459.0,500.0,0.6617,143.06,,,,True
2023,춘추항공(CQH),477218.0,2565.0,376669.0,3373.0,0.7893,146.85,1655.3,1610.0,1371.44,True
2024,춘추항공(CQH),1081048.0,5830.0,921355.0,7687.0,0.8523,158.04,144.61,127.29,126.53,True
2025,춘추항공(CQH),1278684.0,6888.0,1171135.0,9393.0,0.9159,170.03,27.11,18.15,18.28,True
2026,춘추항공(CQH),1047464.0,5652.0,958276.0,7858.0,0.9149,169.55,-18.18,-17.94,-18.08,True
2022,칭다오항공(QDA),24300.0,135.0,15474.0,448.0,0.6368,114.62,,,,False
2023,칭다오항공(QDA),90184.0,546.0,49558.0,739.0,0.5495,90.77,220.27,304.44,271.13,False
2024,칭다오항공(QDA),147574.0,870.0,102961.0,1516.0,0.6977,118.35,107.76,59.34,63.64,False
2025,칭다오항공(QDA),154564.0,900.0,120418.0,1770.0,0.7791,133.8,16.95,3.45,4.74,False
2026,칭다오항공(QDA),126444.0,714.0,108448.0,1579.0,0.8577,151.89,-9.94,-20.67,-18.19,False
2022,카고룩스 이탈리아(ICV),0.0,270.0,0.0,12076.0,0.0,0.0,,,,False
2023,카고룩스 이탈리아(ICV),0.0,275.0,0.0,11161.0,0.0,0.0,,1.85,,False
2024,카고룩스 이탈리아(ICV),0.0,304.0,0.0,14913.0,0.0,0.0,,10.55,,False
2025,카고룩스 이탈리아(ICV),0.0,315.0,0.0,15417.0,0.0,0.0,,3.62,,False
2026,카고룩스 이탈리아(ICV),0.0,258.0,0.0,13521.0,0.0,0.0,,-18.1,,False
2022,카고룩스화물항공(CLX),0.0,337.0,0.0,22464.0,0.0,0.0,,,,False
2023,카고룩스화물항공(CLX),0.0,311.0,0.0,18730.0,0.0,0.0,,-7.72,,False
2024,카고룩스화물항공(CLX),0.0,312.0,0.0,17244.0,0.0,0.0,,0.32,,False
2025,카고룩스화물항공(CLX),0.0,302.0,0.0,19170.0,0.0,0.0,,-3.21,,False
2026,카고룩스화물항공(CLX),0.0,204.0,0.0,12996.0,0.0,0.0,,-32.45,,False
2024,카놋샤크항공(QNT),23028.0,114.0,13103.0,363.0,0.569,114.94,,,,False
2025,카놋샤크항공(QNT),80266.0,332.0,44611.0,1936.0,0.5558,134.37,240.46,191.23,248.56,False
2026,카놋샤크항공(QNT),53858.0,232.0,42339.0,1865.0,0.7861,182.5,-5.09,-30.12,-32.9,False
2022,카타르항공(QTR),284464.0,1148.0,228815.0,55556.0,0.8044,199.32,,,,False
2023,카타르항공(QTR),287862.0,1133.0,263969.0,47271.0,0.917,232.98,15.36,-1.31,1.19,False
2024,카타르항공(QTR),310310.0,1214.0,276194.0,46155.0,0.8901,227.51,4.63,7.15,7.8,False
2025,카타르항공(QTR),313885.0,1219.0,283791.0,45955.0,0.9041,232.81,2.75,0.41,1.15,False
2026,카타르항공(QTR),160066.0,702.0,134333.0,24091.0,0.8392,191.36,-52.66,-42.41,-49.0,False
2022,칼리타화물항공(CKS),0.0,3855.0,0.0,31004.0,0.0,0.0,,,,False
2023,칼리타화물항공(CKS),0.0,1345.0,0.0,17372.0,0.0,0.0,,-65.11,,False
2024,칼리타화물항공(CKS),0.0,2110.0,0.0,35086.0,0.0,0.0,,56.88,,False
2025,칼리타화물항공(CKS),0.0,2548.0,0.0,41484.0,0.0,0.0,,20.76,,False
2026,칼리타화물항공(CKS),0.0,1717.0,0.0,37857.0,0.0,0.0,,-32.61,,False
2022,캄보디아앙코르항공(KHV),0.0,8.0,0.0,29.0,0.0,0.0,,,,False
2022,캐세이퍼시픽항공(CPA),116781.0,882.0,83975.0,17073.0,0.7191,95.21,,,,False
2023,캐세이퍼시픽항공(CPA),791536.0,2787.0,654617.0,31695.0,0.827,234.88,679.54,215.99,577.8,False
2024,캐세이퍼시픽항공(CPA),854007.0,3020.0,694904.0,35016.0,0.8137,230.1,6.15,8.36,7.89,False
2025,캐세이퍼시픽항공(CPA),863343.0,3102.0,780630.0,35938.0,0.9042,251.65,12.34,2.72,1.09,False
2026,캐세이퍼시픽항공(CPA),627521.0,2384.0,545139.0,24349.0,0.8687,228.67,-30.17,-23.15,-27.31,False
2026,콘도르플루그디엔스트(CFG),310.0,1.0,153.0,4.0,0.4935,153.0,,,,False
2025,타이 비엣젯 에어(TVJ),38216.0,184.0,27412.0,374.0,0.7173,148.98,,,,False
2026,타이 비엣젯 에어(TVJ),78486.0,404.0,60826.0,940.0,0.775,150.56,121.9,119.57,105.37,False
2022,타이거에어 대만(TTW),31680.0,176.0,21373.0,308.0,0.6747,121.44,,,,False
2023,타이거에어 대만(TTW),364500.0,2025.0,301579.0,3548.0,0.8274,148.93,1311.03,1050.57,1050.57,False
2024,타이거에어 대만(TTW),450540.0,2503.0,356104.0,4066.0,0.7904,142.27,18.08,23.6,23.6,False
2025,타이거에어 대만(TTW),521640.0,2898.0,444053.0,5193.0,0.8513,153.23,24.7,15.78,15.78,False
2026,타이거에어 대만(TTW),386640.0,2148.0,357778.0,4181.0,0.9254,166.56,-19.43,-25.88,-25.88,False
2026,타이라이온항공(TLM),48590.0,226.0,24918.0,516.0,0.5128,110.26,,,,False
2026,타이에어아시아(AIQ),18228.0,98.0,11992.0,118.0,0.6579,122.37,,,,False
2022,타이에어아시아엑스(TAX),151776.0,408.0,125632.0,3096.0,0.8277,307.92,,,,False
2023,타이에어아시아엑스(TAX),392386.0,1050.0,322988.0,8445.0,0.8231,307.61,157.09,157.35,158.53,False
2024,타이에어아시아엑스(TAX),453825.0,1231.0,364732.0,9628.0,0.8037,296.29,12.92,17.24,15.66,False
2025,타이에어아시아엑스(TAX),220860.0,672.0,168080.0,6650.0,0.761,250.12,-53.92,-45.41,-51.33,False
2026,타이에어아시아엑스(TAX),90330.0,266.0,67165.0,2816.0,0.7436,252.5,-60.04,-60.42,-59.1,False
2022,타이항공(THA),373079.0,1264.0,263820.0,20203.0,0.7071,208.72,,,,False
2023,타이항공(THA),672068.0,2174.0,488822.0,26664.0,0.7273,224.85,85.29,71.99,80.14,False
2024,타이항공(THA),713681.0,2191.0,499253.0,30464.0,0.6995,227.87,2.13,0.78,6.19,False
2025,타이항공(THA),666719.0,2069.0,537425.0,32570.0,0.8061,259.75,7.65,-5.57,-6.58,False
2026,타이항공(THA),416762.0,1312.0,311196.0,21540.0,0.7467,237.19,-42.09,-36.59,-37.49,False
2022,터키항공(THY),278740.0,1034.0,242635.0,31330.0,0.8705,234.66,,,,False
2023,터키항공(THY),399954.0,1348.0,356212.0,36473.0,0.8906,264.25,46.81,30.37,43.49,False
2024,터키항공(THY),400652.0,1352.0,342542.0,40404.0,0.855,253.36,-3.84,0.3,0.17,False
2025,터키항공(THY),398202.0,1346.0,350839.0,40715.0,0.8811,260.65,2.42,-0.44,-0.61,False
2026,터키항공(THY),266005.0,905.0,244736.0,27762.0,0.92,270.43,-30.24,-32.76,-33.2,False
2022,톈진화물항공(CTJ),0.0,844.0,0.0,6665.0,0.0,0.0,,,,False
2023,톈진화물항공(CTJ),0.0,230.0,0.0,1060.0,0.0,0.0,,-72.75,,False
2024,톈진화물항공(CTJ),0.0,446.0,0.0,3258.0,0.0,0.0,,93.91,,False
2025,톈진화물항공(CTJ),0.0,590.0,0.0,5207.0,0.0,0.0,,32.29,,False
2026,톈진화물항공(CTJ),0.0,24.0,0.0,230.0,0.0,0.0,,-95.93,,False
2023,투르크메니스탄 항공(TUA),0.0,62.0,0.0,1701.0,0.0,0.0,,,,False
2024,투르크메니스탄 항공(TUA),0.0,100.0,0.0,3050.0,0.0,0.0,,61.29,,False
2025,투르크메니스탄 항공(TUA),17322.0,124.0,5842.0,2556.0,0.3373,47.11,inf,24.0,inf,False
2026,투르크메니스탄 항공(TUA),23296.0,132.0,9158.0,2724.0,0.3931,69.38,56.76,6.45,34.49,False
2022,트리니티항공(TWB),6957096.0,34494.0,6116021.0,39725.0,0.8791,177.31,,,,False
2023,트리니티항공(TWB),10920319.0,55031.0,9915662.0,88738.0,0.908,180.18,62.13,59.54,56.97,False
2024,트리니티항공(TWB),11616899.0,58565.0,10465070.0,102262.0,0.9008,178.69,5.54,6.42,6.38,False
2025,트리니티항공(TWB),12672661.0,62028.0,11099337.0,127790.0,0.8758,178.94,6.06,5.91,9.09,False
2026,트리니티항공(TWB),8504993.0,41941.0,7600114.0,89999.0,0.8936,181.21,-31.53,-32.38,-32.89,False
2025,파라타항공(PTA),193454.0,846.0,152181.0,1900.0,0.7867,179.88,,,,False
2026,파라타항공(PTA),869520.0,4065.0,767830.0,13005.0,0.8831,188.89,404.55,380.5,349.47,False
2022,페덱스화물항공(FDX),0.0,3303.0,0.0,71046.0,0.0,0.0,,,,False
2023,페덱스화물항공(FDX),0.0,3214.0,0.0,66356.0,0.0,0.0,,-2.69,,False
2024,페덱스화물항공(FDX),0.0,3613.0,0.0,70479.0,0.0,0.0,,12.41,,False
2025,페덱스화물항공(FDX),0.0,3947.0,0.0,86828.0,0.0,0.0,,9.24,,False
2026,페덱스화물항공(FDX),0.0,2905.0,0.0,61914.0,0.0,0.0,,-26.4,,False
2022,폴라에어카고(PAC),0.0,3433.0,0.0,112481.0,0.0,0.0,,,,False
2023,폴라에어카고(PAC),0.0,2998.0,0.0,101252.0,0.0,0.0,,-12.67,,False
2024,폴라에어카고(PAC),0.0,1507.0,0.0,52100.0,0.0,0.0,,-49.73,,False
2025,폴라에어카고(PAC),0.0,590.0,0.0,18639.0,0.0,0.0,,-60.85,,False
2026,폴라에어카고(PAC),0.0,338.0,0.0,7888.0,0.0,0.0,,-42.71,,False
2022,폴란드항공(LOT),173796.0,662.0,143095.0,9698.0,0.8234,216.16,,,,False
2023,폴란드항공(LOT),240366.0,855.0,208716.0,10988.0,0.8683,244.11,45.86,29.15,38.3,False
2024,폴란드항공(LOT),241374.0,871.0,190478.0,9952.0,0.7891,218.69,-8.74,1.87,0.42,False
2025,폴란드항공(LOT),198744.0,702.0,160224.0,8736.0,0.8062,228.24,-15.88,-19.4,-17.66,False
2026,폴란드항공(LOT),125160.0,454.0,107603.0,5763.0,0.8597,237.01,-32.84,-35.33,-37.02,False
2022,프랑스항공(AFR),164068.0,434.0,124094.0,9144.0,0.7564,285.93,,,,False
2023,프랑스항공(AFR),249344.0,670.0,212727.0,12033.0,0.8531,317.5,71.42,54.38,51.98,False
2024,프랑스항공(AFR),263174.0,702.0,217611.0,13178.0,0.8269,309.99,2.3,4.78,5.55,False
2025,프랑스항공(AFR),221314.0,706.0,190636.0,11393.0,0.8614,270.02,-12.4,0.57,-15.91,False
2026,프랑스항공(AFR),140292.0,457.0,123911.0,7346.0,0.8832,271.14,-35.0,-35.27,-36.61,False
2022,플라이강원(FGW),524652.0,2791.0,366280.0,2103.0,0.6981,131.24,,,,False
2023,플라이강원(FGW),241905.0,1183.0,153709.0,1379.0,0.6354,129.93,-58.04,-57.61,-53.89,False
2022,피치항공(APJ),87120.0,484.0,62142.0,546.0,0.7133,128.39,,,,True
2023,피치항공(APJ),535976.0,2856.0,470912.0,3837.0,0.8786,164.89,657.8,490.08,515.22,True
2024,피치항공(APJ),663880.0,3657.0,593358.0,4818.0,0.8938,162.25,26.0,28.05,23.86,True
2025,피치항공(APJ),992120.0,5313.0,837903.0,7485.0,0.8446,157.71,41.21,45.28,49.44,True
2026,피치항공(APJ),982700.0,5272.0,809338.0,7031.0,0.8236,153.52,-3.41,-0.77,-0.95,True
2022,핀란드항공(FIN),123152.0,438.0,78367.0,9912.0,0.6363,178.92,,,,False
2023,핀란드항공(FIN),238198.0,716.0,192020.0,15180.0,0.8061,268.18,145.03,63.47,93.42,False
2024,핀란드항공(FIN),233214.0,708.0,185247.0,15427.0,0.7943,261.65,-3.53,-1.12,-2.09,False
2025,핀란드항공(FIN),228889.0,702.0,174669.0,15028.0,0.7631,248.82,-5.71,-0.85,-1.85,False
2026,핀란드항공(FIN),158590.0,486.0,130597.0,11147.0,0.8235,268.72,-25.23,-30.77,-30.71,False
2022,필리핀에어아시아(APG),77148.0,428.0,51337.0,617.0,0.6654,119.95,,,,False
2023,필리핀에어아시아(APG),314706.0,1743.0,231545.0,2506.0,0.7358,132.84,351.03,307.24,307.93,False
2024,필리핀에어아시아(APG),224952.0,1248.0,181406.0,2197.0,0.8064,145.36,-21.65,-28.4,-28.52,False
2025,필리핀에어아시아(APG),140004.0,776.0,105832.0,1560.0,0.7559,136.38,-41.66,-37.82,-37.76,False
2026,필리핀에어아시아(APG),31320.0,174.0,27087.0,423.0,0.8648,155.67,-74.41,-77.58,-77.63,False
2022,필리핀항공(PAL),231915.0,1070.0,150139.0,6401.0,0.6474,140.32,,,,False
2023,필리핀항공(PAL),824371.0,3809.0,647056.0,12535.0,0.7849,169.88,330.97,255.98,255.46,False
2024,필리핀항공(PAL),715506.0,3277.0,600612.0,11462.0,0.8394,183.28,-7.18,-13.97,-13.21,False
2025,필리핀항공(PAL),691652.0,3071.0,562114.0,11209.0,0.8127,183.04,-6.41,-6.29,-3.33,False
2026,필리핀항공(PAL),409104.0,1760.0,318099.0,7082.0,0.7776,180.74,-43.41,-42.69,-40.85,False
2022,하와이안항공(HAL),132258.0,466.0,82002.0,6424.0,0.62,175.97,,,,False
2023,하와이안항공(HAL),153768.0,525.0,128356.0,8058.0,0.8347,244.49,56.53,12.66,16.26,False
2024,하와이안항공(HAL),153148.0,522.0,122181.0,7486.0,0.7978,234.06,-4.81,-0.57,-0.4,False
2025,하와이안항공(HAL),145836.0,497.0,109556.0,6464.0,0.7512,220.43,-10.33,-4.79,-4.77,False
2022,하이난항공(CHH),7127.0,28.0,2980.0,86.0,0.4181,106.43,,,,False
2023,하이난항공(CHH),7008.0,24.0,4871.0,155.0,0.6951,202.96,63.46,-14.29,-1.67,False
2024,하이난항공(CHH),6778.0,36.0,3577.0,77.0,0.5277,99.36,-26.57,50.0,-3.28,False
2025,하이난항공(CHH),74662.0,394.0,49645.0,899.0,0.6649,126.0,1287.89,994.44,1001.53,False
2026,하이난항공(CHH),47632.0,260.0,35648.0,654.0,0.7484,137.11,-28.19,-34.01,-36.2,False
2022,하이플라이 몰타(HFM),514.0,32.0,204.0,258.0,0.3969,6.38,,,,False
2023,하이플라이 몰타(HFM),508.0,2.0,160.0,5.0,0.315,80.0,-21.57,-93.75,-1.17,False
2022,호주항공(콴타스항공)(QFA),7722.0,316.0,7229.0,1154.0,0.9362,22.88,,,,False
2023,호주항공(콴타스항공)(QFA),108576.0,424.0,92570.0,2800.0,0.8526,218.33,1180.54,34.18,1306.06,False
2024,호주항공(콴타스항공)(QFA),108904.0,370.0,93480.0,3199.0,0.8584,252.65,0.98,-12.74,0.3,False
2025,호주항공(콴타스항공)(QFA),38610.0,130.0,31370.0,955.0,0.8125,241.31,-66.44,-64.86,-64.55,False
2022,홍콩익스프레스(HKE),19552.0,104.0,16243.0,206.0,0.8308,156.18,,,,False
2023,홍콩익스프레스(HKE),435568.0,2120.0,369749.0,4044.0,0.8489,174.41,2176.36,1938.46,2127.74,False
2024,홍콩익스프레스(HKE),670648.0,3154.0,543537.0,5776.0,0.8105,172.33,47.0,48.77,53.97,False
2025,홍콩익스프레스(HKE),1089756.0,4964.0,973406.0,10527.0,0.8932,196.09,79.09,57.39,62.49,False
2026,홍콩익스프레스(HKE),953696.0,4232.0,807964.0,8434.0,0.8472,190.92,-17.0,-14.75,-12.49,False
2022,홍콩항공(CRK),34186.0,246.0,15373.0,3110.0,0.4497,62.49,,,,False
2023,홍콩항공(CRK),83444.0,424.0,69636.0,1567.0,0.8345,164.24,352.98,72.36,144.09,False
2024,홍콩항공(CRK),143932.0,660.0,114055.0,3260.0,0.7924,172.81,63.79,55.66,72.49,False
2025,홍콩항공(CRK),202296.0,980.0,172811.0,2918.0,0.8542,176.34,51.52,48.48,40.55,False
2026,홍콩항공(CRK),169224.0,844.0,147788.0,2366.0,0.8733,175.1,-14.48,-13.88,-16.35,False
2022,훈누에어(MML),2548.0,26.0,1866.0,24.0,0.7323,71.77,,,,False
2023,훈누에어(MML),7642.0,78.0,6835.0,88.0,0.8944,87.63,266.29,200.0,199.92,False
2024,훈누에어(MML),9642.0,99.0,8029.0,101.0,0.8327,81.1,17.47,26.92,26.17,False
2025,훈누에어(MML),4600.0,44.0,3902.0,46.0,0.8483,88.68,-51.4,-55.56,-52.29,False
2026,훈누에어(MML),2108.0,20.0,2052.0,24.0,0.9734,102.6,-47.41,-54.55,-54.17,False
