year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2024,에어아시아(AXM),107322.0,578.0,82373.0,596.0,0.7675,142.51,,,,False
2025,에어아시아(AXM),133734.0,719.0,94521.0,773.0,0.7068,131.46,14.75,24.39,24.61,False
2026,에어아시아(AXM),79608.0,428.0,55907.0,528.0,0.7023,130.62,-40.85,-40.47,-40.47,False
2022,에어아시아엑스(XAX),94587.0,332.0,66387.0,5286.0,0.7019,199.96,,,,False
2023,에어아시아엑스(XAX),478890.0,1318.0,354821.0,11220.0,0.7409,269.21,434.47,296.99,406.3,False
2024,에어아시아엑스(XAX),437374.0,1182.0,348111.0,11566.0,0.7959,294.51,-1.89,-10.32,-8.67,False
2025,에어아시아엑스(XAX),393234.0,1058.0,318255.0,11942.0,0.8093,300.81,-8.58,-10.49,-10.09,False
2026,에어아시아엑스(XAX),207226.0,562.0,165915.0,6307.0,0.8006,295.22,-47.87,-46.88,-47.3,False
2022,에어인디아 리미티드(AIC),53760.0,210.0,44324.0,2235.0,0.8245,211.07,,,,False
2023,에어인디아 리미티드(AIC),95744.0,376.0,72966.0,4233.0,0.7621,194.06,64.62,79.05,78.1,False
2024,에어인디아 리미티드(AIC),105984.0,414.0,86209.0,5478.0,0.8134,208.23,18.15,10.11,10.7,False
2025,에어인디아 리미티드(AIC),112640.0,442.0,89744.0,6042.0,0.7967,203.04,4.1,6.76,6.28,False
2026,에어인디아 리미티드(AIC),99904.0,388.0,77264.0,5954.0,0.7734,199.13,-13.91,-12.22,-11.31,False
2024,에어재팬(AJX),188892.0,584.0,124925.0,3570.0,0.6614,213.91,,,,False
2025,에어재팬(AJX),243000.0,750.0,192337.0,5509.0,0.7915,256.45,53.96,28.42,28.64,False
2026,에어재팬(AJX),58320.0,180.0,50600.0,1375.0,0.8676,281.11,-73.69,-76.0,-76.0,False
2022,에어제타(AIH),0.0,3337.0,0.0,37783.0,0.0,0.0,,,,False
2023,에어제타(AIH),0.0,3556.0,0.0,39323.0,0.0,0.0,,6.56,,False
2024,에어제타(AIH),0.0,3384.0,0.0,39929.0,0.0,0.0,,-4.84,,False
2025,에어제타(AIH),0.0,6470.0,0.0,222588.0,0.0,0.0,,91.19,,False
2026,에어제타(AIH),0.0,6605.0,0.0,299422.0,0.0,0.0,,2.09,,False
2022,에어캐나다(ACA),305896.0,1347.0,259100.0,19170.0,0.847,192.35,,,,False
2023,에어캐나다(ACA),406990.0,1368.0,395923.0,24118.0,0.9728,289.42,52.81,1.56,33.05,False
2024,에어캐나다(ACA),506334.0,1594.0,488353.0,25913.0,0.9645,306.37,23.35,16.52,24.41,False
2025,에어캐나다(ACA),439926.0,1493.0,409340.0,20429.0,0.9305,274.17,-16.18,-6.34,-13.12,False
2026,에어캐나다(ACA),301978.0,1014.0,284580.0,14858.0,0.9424,280.65,-30.48,-32.08,-31.36,False
2022,에어프레미아(APZ),133076.0,680.0,98153.0,8341.0,0.7376,144.34,,,,True
2023,에어프레미아(APZ),778141.0,2432.0,671483.0,30228.0,0.8629,276.1,584.12,257.65,484.73,True
2024,에어프레미아(APZ),889531.0,2783.0,765503.0,37422.0,0.8606,275.06,14.0,14.43,14.31,True
2025,에어프레미아(APZ),1361426.0,4118.0,1088964.0,53595.0,0.7999,264.44,42.25,47.97,53.05,True
2026,에어프레미아(APZ),1140846.0,3446.0,913137.0,43768.0,0.8004,264.98,-16.15,-16.32,-16.2,True
2022,에어홍콩화물항공(AHK),0.0,624.0,0.0,22416.0,0.0,0.0,,,,False
2023,에어홍콩화물항공(AHK),0.0,610.0,0.0,24429.0,0.0,0.0,,-2.24,,False
2024,에어홍콩화물항공(AHK),0.0,614.0,0.0,26261.0,0.0,0.0,,0.66,,False
2025,에어홍콩화물항공(AHK),0.0,612.0,0.0,26173.0,0.0,0.0,,-0.33,,False
2026,에어홍콩화물항공(AHK),0.0,410.0,0.0,17805.0,0.0,0.0,,-33.01,,False
2022,에티오피안항공(ETH),147232.0,985.0,53124.0,24664.0,0.3608,53.93,,,,False
2023,에티오피안항공(ETH),257842.0,1295.0,101466.0,18427.0,0.3935,78.35,91.0,31.47,75.13,False
2024,에티오피안항공(ETH),282858.0,1548.0,117283.0,19751.0,0.4146,75.76,15.59,19.54,9.7,False
2025,에티오피안항공(ETH),302746.0,1537.0,130954.0,21143.0,0.4326,85.2,11.66,-0.71,7.03,False
2026,에티오피안항공(ETH),219301.0,1034.0,87248.0,14343.0,0.3978,84.38,-33.38,-32.73,-27.56,False
